# Generated by ChargePol,,,,,,,,
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude,
charge,time,zmin,zwidth,x,y,lon,lat,Date
pos,22.444827,9.31985,1.28921,92.418049,-34.162997,-94.413261,29.45204,4/7/2023
pos,23.594804,10.77741,1.54668,55.892318,-78.299439,-94.793633,29.054174,4/7/2023
pos,47.848095,6.69001,2.05979,56.31205,-78.197453,-94.789299,29.055094,4/7/2023
pos,57.641904,8.6119,0.86293,48.879978,-73.269777,-94.865723,29.099514,4/7/2023
pos,58.173381,8.00965,3.65792,57.326907,-4.409472,-94.774956,29.720251,4/7/2023
pos,60.369207,9.03343,3.21284,66.918619,-63.105294,-94.679008,29.191141,4/7/2023
pos,74.944174,9.03927,0.580681,-51.604191,60.672292,-95.908821,30.306927,4/7/2023
pos,94.415179,8.18349,2.75217,-34.430134,89.568039,-95.730461,30.567406,4/7/2023
pos,98.226911,2.73723,1.34957,61.162174,-2.524433,-94.735039,29.737244,4/7/2023
pos,120.877804,8.61002,2.04512,-31.282667,93.844447,-95.697639,30.605955,4/7/2023
pos,140.538126,3.56552,1.56214,75.904459,-46.523765,-94.585075,29.340614,4/7/2023
pos,140.735444,8.3011,1.873551,67.301314,-43.577189,-94.673859,29.367176,4/7/2023
pos,151.541533,8.86526,3.72626,68.420113,-62.757231,-94.663483,29.194279,4/7/2023
pos,158.787407,8.41611,1.72213,-21.237245,97.9683,-95.592514,30.643129,4/7/2023
pos,166.391804,9.00604,0.85258,48.947299,-71.723279,-94.86496,29.113455,4/7/2023
pos,170.118174,3.71709,0.24129,58.070336,-75.36725,-94.771019,29.080606,4/7/2023
pos,172.118525,8.44057,0.79812,-23.645955,80.750526,-95.617355,30.487921,4/7/2023
pos,182.492,8.29696,3.42516,-98.91962,38.646389,-96.40078,30.108376,4/7/2023
pos,199.997014,8.95128,2.47655,-31.348353,92.802587,-95.698296,30.596563,4/7/2023
pos,206.605093,8.65855,2.179271,-32.474639,51.916563,-95.708809,30.227999,4/7/2023
pos,218.584558,9.0761,0.75496,49.180031,-71.336919,-94.862541,29.116938,4/7/2023
pos,227.493716,3.89565,1.10067,75.785893,-44.685487,-94.586174,29.357185,4/7/2023
pos,232.785811,10.13661,1.559109,64.905404,0.30175,-94.696007,29.76272,4/7/2023
pos,234.087143,10.58558,2.5558,59.572289,-76.44635,-94.755585,29.070879,4/7/2023
pos,238.112112,6.80208,0.39775,-29.109834,39.632178,-95.673363,30.117262,4/7/2023
pos,247.559261,7.67235,4.00194,-71.010705,30.556105,-96.109413,30.035446,4/7/2023
pos,258.7653,9.36645,1.69145,68.477115,-61.54864,-94.662819,29.205173,4/7/2023
pos,273.704448,10.0992,3.1916,-146.41857,-51.645679,-96.883423,29.294443,4/7/2023
pos,282.980045,3.53413,1.2432,68.167999,-64.085581,-94.666168,29.182304,4/7/2023
pos,296.721728,4.35323,1.7396,-40.548176,61.655542,-95.793419,30.31579,4/7/2023
pos,300.053134,11.04663,1.61684,122.025259,-2.099564,-94.103134,29.741074,4/7/2023
pos,303.211095,8.84645,1.216109,-119.115146,3.436852,-96.607269,29.790981,4/7/2023
pos,311.8052,11.41002,1.526,119.139053,-13.553253,-94.134369,29.637825,4/7/2023
pos,314.507646,6.38569,5.47668,63.636229,-0.153588,-94.709213,29.758615,4/7/2023
pos,316.130776,9.6327,2.514939,70.450921,-61.402432,-94.642426,29.206491,4/7/2023
pos,323.658991,11.92939,1.713721,125.79293,-9.782118,-94.064919,29.67182,4/7/2023
pos,325.87285,10.87755,1.72333,58.509566,-76.064856,-94.766525,29.074318,4/7/2023
pos,341.576619,5.04191,0.66524,-42.118339,61.262412,-95.809799,30.312246,4/7/2023
pos,344.763089,11.92524,2.41271,-133.833628,-26.978098,-96.756371,29.516808,4/7/2023
pos,349.600906,10.63157,3.001729,-137.263634,-45.557654,-96.789558,29.349323,4/7/2023
pos,363.15237,9.99913,1.42246,112.484422,-28.857424,-94.204979,29.499866,4/7/2023
pos,369.344756,9.38162,3.0826,176.236244,38.81566,-93.533524,30.109901,4/7/2023
